customer_key,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
1,121,8,8796.42,3,4,2,9,Needs Attention
2,91,3,15179.61,4,1,3,8,New / Promising
3,540,4,6611.4365,1,1,2,4,Lost / Churned
4,62,20,55575.087999999996,4,5,5,14,Champions
5,40,4,14451.4165,5,1,3,9,New / Promising
6,55,7,6626.16,5,3,2,10,Loyal Customers
7,455,5,17521.09,1,2,3,6,Lost / Churned
8,581,4,6013.87,1,1,1,3,Lost / Churned
9,60,10,33724.7355,5,5,5,15,Champions
10,149,6,4561.826,3,3,1,7,Needs Attention
11,32,6,6367.8085,5,3,2,10,Loyal Customers
12,80,18,88875.7575,4,5,5,14,Champions
13,260,7,35978.138999999996,2,3,5,10,Needs Attention
14,649,5,14143.66,1,2,3,6,Lost / Churned
15,149,7,11676.57,3,3,2,8,Needs Attention
16,488,4,6874.5905,1,1,2,4,Lost / Churned
17,50,17,88417.0025,5,5,5,15,Champions
18,86,10,17328.985500000003,4,5,3,12,Loyal Customers
19,87,6,13571.349,4,3,3,10,Loyal Customers
20,203,9,44021.42,3,4,5,12,Needs Attention
21,233,7,22686.213,2,3,4,9,Needs Attention
22,100,5,34532.76,4,2,5,11,New / Promising
23,84,7,7703.360000000001,4,3,2,9,Loyal Customers
24,241,8,20471.19,2,4,4,10,At Risk (High Value)
25,10,9,28598.5625,5,4,4,13,Champions
26,583,5,11630.589999999998,1,2,2,5,Lost / Churned
27,35,6,8399.321,5,3,2,10,Loyal Customers
28,69,12,27214.947,4,5,4,13,Champions
29,260,4,8811.6155,2,1,2,5,Lost / Churned
30,38,9,34524.2525,5,4,5,14,Champions
31,303,3,7276.6235,2,1,2,5,Lost / Churned
32,85,6,22948.7625,4,3,4,11,Loyal Customers
33,346,5,11710.830000000002,2,2,2,6,Lost / Churned
34,24,8,40124.99,5,4,5,14,Champions
35,202,3,795.82,3,1,1,5,Needs Attention
36,114,3,1406.3400000000001,4,1,1,6,New / Promising
37,358,7,10174.915,2,3,2,7,Needs Attention
38,581,4,7105.945,1,1,2,4,Lost / Churned
