date_key,date,year,quarter,quarter_label,month_num,month_name,month_label,month_sort_key,day,day_of_week_num,day_name,is_weekend
20090101,2009-01-01,2009,1,Q1 2009,1,January,Jan 2009,200901,1,3,Thursday,False
20090102,2009-01-02,2009,1,Q1 2009,1,January,Jan 2009,200901,2,4,Friday,False
20090103,2009-01-03,2009,1,Q1 2009,1,January,Jan 2009,200901,3,5,Saturday,True
20090104,2009-01-04,2009,1,Q1 2009,1,January,Jan 2009,200901,4,6,Sunday,True
20090105,2009-01-05,2009,1,Q1 2009,1,January,Jan 2009,200901,5,0,Monday,False
20090106,2009-01-06,2009,1,Q1 2009,1,January,Jan 2009,200901,6,1,Tuesday,False
20090107,2009-01-07,2009,1,Q1 2009,1,January,Jan 2009,200901,7,2,Wednesday,False
20090108,2009-01-08,2009,1,Q1 2009,1,January,Jan 2009,200901,8,3,Thursday,False
20090109,2009-01-09,2009,1,Q1 2009,1,January,Jan 2009,200901,9,4,Friday,False
20090110,2009-01-10,2009,1,Q1 2009,1,January,Jan 2009,200901,10,5,Saturday,True
20090111,2009-01-11,2009,1,Q1 2009,1,January,Jan 2009,200901,11,6,Sunday,True
20090112,2009-01-12,2009,1,Q1 2009,1,January,Jan 2009,200901,12,0,Monday,False
20090113,2009-01-13,2009,1,Q1 2009,1,January,Jan 2009,200901,13,1,Tuesday,False
20090114,2009-01-14,2009,1,Q1 2009,1,January,Jan 2009,200901,14,2,Wednesday,False
20090115,2009-01-15,2009,1,Q1 2009,1,January,Jan 2009,200901,15,3,Thursday,False
20090116,2009-01-16,2009,1,Q1 2009,1,January,Jan 2009,200901,16,4,Friday,False
20090117,2009-01-17,2009,1,Q1 2009,1,January,Jan 2009,200901,17,5,Saturday,True
20090118,2009-01-18,2009,1,Q1 2009,1,January,Jan 2009,200901,18,6,Sunday,True
20090119,2009-01-19,2009,1,Q1 2009,1,January,Jan 2009,200901,19,0,Monday,False
20090120,2009-01-20,2009,1,Q1 2009,1,January,Jan 2009,200901,20,1,Tuesday,False
20090121,2009-01-21,2009,1,Q1 2009,1,January,Jan 2009,200901,21,2,Wednesday,False
20090122,2009-01-22,2009,1,Q1 2009,1,January,Jan 2009,200901,22,3,Thursday,False
20090123,2009-01-23,2009,1,Q1 2009,1,January,Jan 2009,200901,23,4,Friday,False
20090124,2009-01-24,2009,1,Q1 2009,1,January,Jan 2009,200901,24,5,Saturday,True
20090125,2009-01-25,2009,1,Q1 2009,1,January,Jan 2009,200901,25,6,Sunday,True
