product_key,product_name,product_category,product_subcategory,product_container,product_base_margin
1,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage & Organization,Large Box,0.8
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,Jumbo Drum,0.58
3,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders and Binder Accessories,Small Box,0.39
4,R380,Technology,Telephones and Communication,Small Box,0.58
5,Holmes HEPA Air Purifier,Office Supplies,Appliances,Medium Box,0.5
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Office Furnishings,Small Pack,0.37
7,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders and Binder Accessories,Small Box,0.38
8,"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,Storage & Organization,Small Box,0.39
9,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage & Organization,Large Box,0.39
10,Xerox 198,Office Supplies,Paper,Small Box,0.38
11,Xerox 1980,Office Supplies,Paper,Small Box,0.4
12,Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Rubber Bands,Wrap Bag,0.53
13,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Technology,Computer Peripherals,Small Pack,0.71
14,"Wilson Jones 1"" Hanging DublLock Ring Binders",Office Supplies,Binders and Binder Accessories,Small Box,0.37
15,Ultra Commercial Grade Dual Valve Door Closer,Furniture,Office Furnishings,Wrap Bag,0.53
16,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,Small Box,0.4
17,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,Jumbo Box,0.6
18,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,Large Box,0.68
19,g520,Technology,Telephones and Communication,Small Box,0.59
20,LX 788,Technology,Telephones and Communication,Small Box,0.58
21,Avery 52,Office Supplies,Labels,Small Box,0.38
22,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Rubber Bands,Wrap Bag,0.8
23,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders and Binder Accessories,Small Box,0.37
24,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack,0.66
25,Newell 335,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
26,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Pens & Art Supplies,Wrap Bag,0.54
27,Canon PC940 Copier,Technology,Copiers and Fax,Jumbo Drum,0.38
28,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage & Organization,Small Box,0.59
29,Col-Erase Pencils with Erasers,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
30,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack,0.75
31,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,Small Box,0.36
32,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Small Box,0.38
33,Accessory37,Technology,Telephones and Communication,Wrap Bag,0.81
34,Fuji 5.2GB DVD-RAM,Technology,Computer Peripherals,Small Pack,0.55
35,Bevis Steel Folding Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.57
36,Avery Binder Labels,Office Supplies,Binders and Binder Accessories,Small Box,0.37
37,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.64
38,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper,Small Box,0.4
39,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs & Chairmats,Jumbo Drum,0.6
40,XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,Binders and Binder Accessories,Small Box,0.35
