row_id,order_id,order_date_key,ship_date_key,customer_key,region_key,product_key,order_priority,ship_mode,order_quantity,sales,discount,profit,unit_price,shipping_cost,profit_margin_pct,shipping_days
1,3,20101013,20101020,1,1,1,Low,Regular Air,6,261.54,0.04,-213.25,38.94,35.0,-0.8153628508067599,7
49,293,20121001,20121002,2,1,2,High,Delivery Truck,49,10123.02,0.07,457.81,208.16,68.02,0.045224646399987356,1
50,293,20121001,20121003,2,1,3,High,Regular Air,27,244.57,0.01,46.71,8.69,2.99,0.19098826511837103,2
80,483,20110710,20110712,3,1,4,High,Regular Air,30,4965.7595,0.08,1198.97,195.99,3.99,0.24144745632566378,2
85,515,20100828,20100830,4,1,5,Not Specified,Regular Air,19,394.27,0.08,30.94,21.78,5.94,0.07847414208537297,2
86,515,20100828,20100830,4,1,6,Not Specified,Regular Air,21,146.69,0.05,4.43,6.64,4.95,0.03019974095030336,2
97,613,20110617,20110617,5,1,7,High,Regular Air,12,93.54,0.03,-54.04,7.3,7.72,-0.5777207611716912,0
98,613,20110617,20110618,5,1,8,High,Regular Air,22,905.08,0.09,127.7,42.76,6.22,0.14109250011048746,1
103,643,20110324,20110325,6,1,9,High,Express Air,21,2781.82,0.07,-695.26,138.14,35.0,-0.24992990200659998,1
107,678,20100226,20100226,7,1,10,Low,Regular Air,44,228.41,0.07,-226.36,4.98,8.33,-0.9910249113436366,0
127,807,20101123,20101124,8,1,11,Medium,Regular Air,45,196.85,0.01,-166.85,4.28,6.18,-0.8475996951993904,1
128,807,20101123,20101124,8,1,12,Medium,Regular Air,32,124.56,0.04,-14.33,3.95,2.0,-0.11504495825305074,1
134,868,20120608,20120609,9,1,5,Not Specified,Regular Air,32,716.84,0.0,134.72,21.78,5.94,0.1879359410747168,1
135,868,20120608,20120610,9,1,13,Not Specified,Regular Air,31,1474.33,0.04,114.46,47.98,3.61,0.07763526483216104,2
149,933,20120804,20120804,10,1,14,Not Specified,Regular Air,15,80.61,0.02,-4.72,5.28,2.99,-0.05855352933879171,0
160,995,20110530,20110531,8,1,15,Medium,Regular Air,46,1815.49,0.03,782.91,39.89,3.04,0.4312389492643859,1
161,998,20091125,20091126,11,1,16,Not Specified,Regular Air,16,248.26,0.07,93.8,15.74,1.39,0.37782969467493754,1
175,1154,20120214,20120216,12,1,17,Critical,Delivery Truck,44,4462.23,0.04,440.72,100.98,26.22,0.09876676011769901,2
176,1154,20120214,20120216,12,1,18,Critical,Regular Air,11,663.784,0.25,-481.04,71.37,69.0,-0.7246935750183795,2
203,1344,20120415,20120422,13,1,19,Low,Regular Air,15,834.904,0.06,-11.68,65.99,5.26,-0.01398963234096375,7
204,1344,20120415,20120419,13,1,20,Low,Regular Air,18,2480.9205,0.01,313.58,155.99,8.99,0.12639663383006428,4
213,1412,20100312,20100314,4,1,21,Not Specified,Express Air,13,59.03,0.1,26.92,3.69,0.5,0.4560393020498052,2
214,1412,20100312,20100314,4,1,22,Not Specified,Regular Air,21,97.48,0.05,-5.77,4.71,0.7,-0.05919162905211325,2
229,1539,20110309,20110311,14,1,23,Low,Regular Air,33,511.83,0.1,-172.88,15.99,13.18,-0.33776839966395095,2
230,1539,20110309,20110314,14,1,24,Low,Regular Air,38,184.99,0.05,-144.55,4.89,4.93,-0.7813935888426402,5
231,1540,20120804,20120806,15,1,25,High,Regular Air,30,80.9,0.09,5.76,2.88,0.7,0.07119901112484547,2
249,1702,20110506,20110507,16,1,26,High,Regular Air,23,67.24,0.06,4.9,2.84,0.93,0.07287328970850686,1
250,1761,20101223,20101225,14,1,27,High,Delivery Truck,25,12028.23,0.01,-547.61,449.99,49.0,-0.0455270642480232,2
256,1792,20101108,20101113,4,1,28,Low,Regular Air,28,370.48,0.04,-5.45,13.48,4.51,-0.014710645648887929,5
330,2275,20121021,20121022,17,1,29,Not Specified,Regular Air,49,278.0,0.08,41.67,6.08,1.17,0.14989208633093526,1
331,2277,20110101,20110102,15,1,30,Not Specified,Regular Air,10,66.54,0.01,-46.03,5.98,4.38,-0.6917643522693117,1
332,2277,20110101,20110103,15,1,31,Not Specified,Regular Air,21,845.32,0.06,33.67,40.99,19.99,0.03983106989069228,2
362,2532,20111010,20111011,18,1,32,High,Regular Air,39,282.07,0.03,140.01,7.31,0.49,0.49636615024639275,1
363,2532,20111010,20111011,18,1,33,High,Regular Air,24,426.037,0.01,-78.96,20.99,2.5,-0.18533601541650138,1
381,2631,20100923,20100925,19,1,34,Low,Regular Air,27,1078.49,0.08,252.66,40.96,1.99,0.23427199139537686,2
406,2757,20110719,20110719,20,1,35,Critical,Delivery Truck,39,3554.46,0.07,-1766.01,95.95,74.35,-0.4968434023733563,0
413,2791,20091009,20091009,21,1,36,High,Regular Air,47,191.67,0.0,-236.27,3.89,7.01,-1.2326916053633852,0
414,2791,20091009,20091011,21,1,37,High,Delivery Truck,49,5586.33,0.09,80.44,120.98,30.0,0.014399435765520475,2
415,2791,20091009,20091010,21,1,38,High,Regular Air,18,507.64,0.1,118.94,30.98,5.76,0.2342998975652037,1
440,2976,20101209,20101211,22,1,39,Not Specified,Delivery Truck,30,14223.82,0.09,3424.22,500.98,26.0,0.24073842329275819,2
471,3232,20121008,20121010,23,1,40,Critical,Regular Air,5,42.66,0.06,-11.83,7.84,4.71,-0.27730895452414445,2
513,3524,20120502,20120503,24,1,41,High,Regular Air,21,427.32,0.0,52.35,18.97,9.03,0.12250772254984556,1
577,3908,20100308,20100308,25,1,42,Medium,Regular Air,8,820.284,0.0,-180.2,115.99,2.5,-0.2196800132636989,0
606,4132,20110528,20110530,26,1,43,Not Specified,Regular Air,5,14.76,0.01,1.32,2.88,0.5,0.08943089430894309,2
656,4612,20100919,20100921,13,1,44,Medium,Regular Air,9,89.55,0.06,-375.64,4.48,49.0,-4.194751535455053,2
669,4676,20110831,20110901,16,1,45,High,Regular Air,11,1210.0515,0.04,-104.25,125.99,7.69,-0.08615335793559199,1
670,4676,20110831,20110902,16,1,46,High,Regular Air,50,187.83,0.03,85.96,3.75,0.5,0.4576478730767182,2
671,4676,20110831,20110902,16,1,47,High,Express Air,3,49.59,0.07,-8.38,12.28,6.47,-0.16898568259729785,2
672,4676,20110831,20110901,16,1,20,High,Regular Air,30,4253.009,0.01,1115.69,155.99,8.99,0.26232956478577873,1
734,5284,20110708,20110710,16,1,3,Not Specified,Regular Air,7,59.38,0.1,-3.05,8.69,2.99,-0.05136409565510272,2
735,5316,20090130,20090201,3,1,48,Critical,Regular Air,42,1285.37,0.1,514.07,31.78,1.99,0.39993931708379693,2
